Kamek	enemyOf	Toadette
Luigi	enemyOf	BowserJr
Mario	enemyOf	Kamek
Mario	enemyOf	Wario
Bowser	enemyOf	Toadette
Yoshi	allyOf	Luigi
Toadette	allyOf	Peach
Toadette	type	Character
BowserJr	servantOf	Bowser
Kamek	enemyOf	Toad
BowserJr	enemyOf	Toad
Mario	enemyOf	Bowser
Peach	allyOf	Rosalina
Rosalina	allyOf	Mario
KingBoo	enemyOf	Mario
Luigi	brotherOf	Mario
Mario	allyOf	Peach
Kamek	enemyOf	Luigi
Bowser	enemyOf	Luigi
Peach	allyOf	Mario
Yoshi	enemyOf	Kamek
Toadette	allyOf	Toad
Bowser	allyOf	Kamek
Toad	enemyOf	Kamek
Peach	allyOf	Toadette
Toad	type	Character
Peach	enemyOf	BowserJr
Yoshi	enemyOf	Bowser
Mario	enemyOf	BowserJr
Mario	allyOf	Daisy
BowserJr	allyOf	Bowser
Waluigi	enemyOf	Luigi
Waluigi	allyOf	Wario
Toad	enemyOf	Bowser
Rosalina	allyOf	Luigi
Mario	allyOf	Toad
Toad	allyOf	Mario
BowserJr	type	Character
Yoshi	allyOf	Peach
Luigi	allyOf	Peach
Luigi	enemyOf	Bowser
Toad	allyOf	Toadette
Yoshi	allyOf	Mario
Luigi	allyOf	Mario
Peach	allyOf	Luigi
Bowser	loves	Peach
Daisy	allyOf	Luigi
Peach	allyOf	Yoshi
Toadette	servantOf	Peach
Mario	allyOf	Yoshi
KingBoo	type	Character
Luigi	enemyOf	KingBoo
Yoshi	enemyOf	BowserJr
Luigi	allyOf	Toadette
BowserJr	enemyOf	Mario
Kamek	allyOf	BowserJr
Wario	enemyOf	Mario
Bowser	allyOf	BowserJr
Toad	enemyOf	BowserJr
Toadette	enemyOf	Kamek
Yoshi	allyOf	Toad
Mario	servantOf	Peach
BowserJr	enemyOf	Toadette
Luigi	allyOf	Toad
Toad	allyOf	Luigi
Toad	allyOf	Yoshi
Wario	allyOf	Waluigi
Toadette	enemyOf	Bowser
Toadette	allyOf	Mario
Mario	allyOf	Rosalina
Kamek	servantOf	Bowser
Toad	servantOf	Peach
Rosalina	allyOf	Peach
Peach	enemyOf	Bowser
Waluigi	loves	Daisy
Luigi	allyOf	Yoshi
Mario	type	Character
Rosalina	type	Character
Luigi	enemyOf	Waluigi
Bowser	enemyOf	Toad
Mario	brotherOf	Luigi
Bowser	enemyOf	Mario
BowserJr	enemyOf	Luigi
Luigi	servantOf	Peach
Mario	enemyOf	KingBoo
Peach	type	Character
BowserJr	allyOf	Kamek
Daisy	allyOf	Peach
Daisy	type	Character
Mario	loves	Peach
Toadette	enemyOf	BowserJr
Mario	allyOf	Toadette
Daisy	allyOf	Mario
Toadette	allyOf	Luigi
Luigi	allyOf	Rosalina
Kamek	servantOf	BowserJr
Yoshi	type	Character
Luigi	enemyOf	Kamek
Toadette	allyOf	Yoshi
Peach	allyOf	Daisy
KingBoo	enemyOf	Luigi
Luigi	type	Character
Kamek	allyOf	Bowser
Toad	allyOf	Peach
Wario	type	Character
Peach	allyOf	Toad
Kamek	type	Character
KingBoo	allyOf	Bowser
Daisy	loves	Luigi
Bowser	type	Character
Mario	allyOf	Luigi
Bowser	allyOf	KingBoo
Yoshi	allyOf	Toadette
Wario	loves	Peach
Waluigi	type	Character
Kamek	enemyOf	Mario
Luigi	allyOf	Daisy
Luigi	loves	Daisy
Peach	enemyOf	Kamek
