Daisy	allyOf	Peach
Bowser	enemyOf	Luigi
Wario	loves	Peach
Mario	type	Character
Kamek	type	Character
Mario	allyOf	Rosalina
Luigi	allyOf	Peach
BowserJr	enemyOf	Toadette
Waluigi	enemyOf	Luigi
Bowser	loves	Peach
Mario	allyOf	Toad
Peach	enemyOf	Kamek
Rosalina	allyOf	Mario
Toad	servantOf	Peach
Peach	allyOf	Toadette
Toadette	enemyOf	Kamek
Mario	brotherOf	Luigi
Daisy	loves	Luigi
Daisy	type	Character
Luigi	allyOf	Toadette
Mario	servantOf	Peach
Luigi	type	Character
Peach	type	Character
Luigi	allyOf	Yoshi
Yoshi	allyOf	Toadette
Peach	allyOf	Rosalina
KingBoo	allyOf	Bowser
Mario	allyOf	Peach
Kamek	enemyOf	Toadette
Mario	enemyOf	Wario
Peach	allyOf	Mario
Toadette	type	Character
Toad	allyOf	Toadette
BowserJr	enemyOf	Luigi
Toadette	allyOf	Mario
Kamek	servantOf	Bowser
Bowser	enemyOf	Toadette
Toadette	allyOf	Toad
BowserJr	allyOf	Kamek
KingBoo	enemyOf	Mario
Wario	allyOf	Waluigi
KingBoo	type	Character
Luigi	allyOf	Daisy
Luigi	brotherOf	Mario
Waluigi	allyOf	Wario
Waluigi	loves	Daisy
Peach	enemyOf	Bowser
Mario	allyOf	Toadette
Bowser	enemyOf	Mario
Toadette	enemyOf	Bowser
Luigi	servantOf	Peach
Yoshi	allyOf	Luigi
Bowser	enemyOf	Toad
Toadette	servantOf	Peach
Kamek	enemyOf	Luigi
Kamek	servantOf	BowserJr
Wario	type	Character
Yoshi	enemyOf	Bowser
Toad	allyOf	Luigi
Toadette	allyOf	Peach
Luigi	enemyOf	Waluigi
Bowser	allyOf	BowserJr
Waluigi	type	Character
Rosalina	type	Character
Mario	loves	Peach
Bowser	type	Character
Toad	enemyOf	Bowser
Peach	enemyOf	BowserJr
Yoshi	allyOf	Peach
Bowser	allyOf	Kamek
Mario	allyOf	Daisy
Toadette	enemyOf	BowserJr
Luigi	enemyOf	BowserJr
Toad	allyOf	Peach
Mario	allyOf	Luigi
BowserJr	allyOf	Bowser
Mario	enemyOf	Bowser
Luigi	loves	Daisy
Peach	allyOf	Yoshi
Bowser	allyOf	KingBoo
Yoshi	enemyOf	BowserJr
Luigi	enemyOf	Kamek
Rosalina	allyOf	Luigi
BowserJr	servantOf	Bowser
Toadette	allyOf	Yoshi
BowserJr	enemyOf	Mario
Toad	enemyOf	BowserJr
Yoshi	enemyOf	Kamek
BowserJr	enemyOf	Toad
Luigi	enemyOf	KingBoo
Toad	enemyOf	Kamek
Daisy	allyOf	Mario
Rosalina	allyOf	Peach
Peach	allyOf	Daisy
Toad	type	Character
Toad	allyOf	Yoshi
Kamek	allyOf	Bowser
Luigi	allyOf	Rosalina
Peach	allyOf	Toad
Peach	allyOf	Luigi
Mario	enemyOf	BowserJr
Luigi	allyOf	Mario
BowserJr	type	Character
Yoshi	type	Character
Luigi	allyOf	Toad
Toadette	allyOf	Luigi
Daisy	allyOf	Luigi
Yoshi	allyOf	Mario
Mario	enemyOf	Kamek
Kamek	enemyOf	Mario
KingBoo	enemyOf	Luigi
Wario	enemyOf	Mario
Yoshi	allyOf	Toad
Mario	allyOf	Yoshi
Kamek	enemyOf	Toad
Toad	allyOf	Mario
Luigi	enemyOf	Bowser
Mario	enemyOf	KingBoo
Kamek	allyOf	BowserJr
